rarity,last_sale_price,sale_count,predicted_price
56.95982743961470,3.88,6.0,3.0375202
244.14804690135000,2.8,5.0,3.4573555
187.4017983093160,0.4,3.0,2.598466
184.4053418325220,4.5,1.0,2.7252843
186.4057691535450,2.99,2.0,2.9092612
103.03609645358200,1.7,3.0,2.7792892
309.45328977503000,4.5,2.0,3.545967
109.15070054158000,2.25,2.0,2.7792892
186.35863693851200,9.0,3.0,2.9092612
60.91330962740330,2.8,1.0,2.5953124
150.72074713936300,1.09,2.0,2.8345964
224.8724300053780,8.88,2.0,3.1402466
233.71998895114800,1.8,1.0,3.0750935
171.03913163079200,2.29,3.0,2.9092612
45.29517677416660,5.99,2.0,2.7708244
148.1831553664560,2.4,4.0,3.0928268
204.6522326003860,1.3,2.0,3.1793897
92.07575636119110,7.1,5.0,3.0375202
172.20728452739400,2.8,3.0,2.9092612
78.1807667376822,3.0,1.0,2.5953124
309.2711763690950,2.0,3.0,3.545967
139.20528612810500,8.998,6.0,3.0928268
271.57787295471000,1.998,1.0,3.299036
145.7512076758880,3.9,4.0,3.0928268
72.80193971106000,0.99,1.0,2.5953124
270.5567711921190,8.0,5.0,3.7412443
288.1604779656410,3.4,1.0,3.299036
106.9501774348770,2.6,4.0,3.0375202
86.68532941713680,3.3496,5.0,3.0375202
186.96897837488700,3.08,4.0,3.167492
242.73765415037400,2.09,2.0,3.2590714
112.0712053668750,1.24,1.0,2.5953124
62.81454388023870,11.0,3.0,2.7792892
220.48580957855400,4.5,1.0,2.9562693
87.98064138242550,3.29,10.0,3.2021933
108.09867918422900,4.5,1.0,2.5953124
390.0422050215100,10.88,2.0,4.879625
190.68597955972200,7.5,6.0,3.4376206
162.65645596994600,4.5,1.0,2.7252843
79.37781047173860,2.11,1.0,2.5953124
199.47267475282100,15.0,1.0,2.9954128
345.92703263661500,5.25,2.0,4.829601
314.3492507326890,11.0,3.0,3.545967
140.3900752816060,2.666,1.0,2.6506195
202.18500589113200,5.0,4.0,3.4376206
162.34547024681700,3.4,2.0,2.9092612
134.46768431032800,3.0,1.0,2.6474698
220.45964190856900,4.0,3.0,3.1402466
181.052908121664,6.5,10.0,3.332165
160.69039312054200,3.46,5.0,3.0928268
200.84509619174500,4.5,2.0,3.1793897
117.4847559910070,6.99,5.0,3.0375202
119.53966754914400,1.99,3.0,2.7792892
366.0622063737150,3.9,1.0,4.6456223
194.3310825745890,3.0,1.0,2.9954128
218.1642325900820,1.47,1.0,2.9562693
118.46740253599200,9.4,2.0,2.7792892
178.9504325752280,6.9,6.0,3.167492
138.5463254854330,4.7,6.0,3.0928268
183.2781514355180,6.9,3.0,2.9092612
21.16254765414830,4.89,2.0,2.7622988
130.44430150418700,1.85,4.0,3.0896773
244.23824966303400,2.96,3.0,3.1991248
179.39170285281000,0.65,2.0,2.9092612
148.93255724568100,5.5,17.0,3.2575
249.46615143252700,6.89,2.0,3.4830139
216.05062709748000,1.5,1.0,2.9562693
164.59164183036100,4.0,1.0,2.7252843
119.90597419640600,1.71,6.0,3.0375202
202.02209261208000,9.69,2.0,3.1793897
155.5327479109840,4.95,5.0,3.0928268
144.01577872793300,2.95,3.0,2.8345964
158.21748143195100,6.5,1.0,2.6506195
194.38219252130100,12.5,5.0,3.4376206
253.22970017490600,1.8,4.0,3.7412443
310.1130919080160,7.0,4.0,3.8041975
247.2216331419730,3.99,1.0,3.299036
135.3150495079570,6.1,2.0,2.831447
148.23254944177700,2.95,3.0,2.8345964
53.34433060820310,1.0,1.0,2.5953124
132.82657193253100,4.0,4.0,3.0896773
101.19247059834900,0.975,1.0,2.5953124
136.28474698051200,5.75,4.0,3.0896773
232.7723245255410,1.45,1.0,3.0750935
258.72988770893200,11.3,4.0,3.7412443
208.19960974630800,4.6969,3.0,3.1793897
160.22613229399000,2.9,8.0,3.2575
110.73530444270900,2.02,5.0,3.0375202
133.1403791941030,2.45,1.0,2.6474698
227.2207451786150,3.88,3.0,3.1402466
152.49488996512500,2.5,2.0,2.8345964
141.4738257022510,3.48,4.0,3.0928268
211.4039025468050,6.0,5.0,3.4376206
147.24515632595300,0.7,1.0,2.6506195
105.5894504040950,11.49,5.0,3.0375202
62.09947247864820,4.8,1.0,2.5953124
129.65901416612100,3.9,6.0,2.962309
117.88733246567400,2.649,4.0,3.0375202
118.6447091818740,9.96,4.0,3.0375202
88.4811448388094,4.976344390616150,4.0,3.0375202
275.1351682600690,11.5,2.0,3.4830139
198.3733553121370,3.85,3.0,3.1793897
118.62721945567100,1.56,1.0,2.5953124
224.0131059039510,12.0,4.0,3.398477
180.6364456400810,2.49,5.0,3.167492
114.068679190396,1.5,1.0,2.5953124
161.73399995732300,2.0,3.0,2.515888
214.4504595499660,2.5,3.0,3.1402466
106.37099019779500,1.475,3.0,2.7792892
205.78357320070100,8.849,2.0,3.1793897
194.26763478596600,9.5,3.0,3.1793897
177.98937312976500,2.0,1.0,2.7252843
149.08483617570400,1.25,4.0,3.0928268
151.38030398274600,2.5,3.0,2.8345964
121.01747337551700,7.5,7.0,3.096494
104.6289527458210,3.38,4.0,3.0375202
103.44348705706000,1.5,1.0,2.5953124
183.0947570317850,6.48,3.0,2.9092612
105.70943686245900,5.33,8.0,3.2021933
330.7170112064260,9.49,8.0,5.2525034
109.55579717649500,3.65,1.0,2.5953124
187.5911629415020,3.49,6.0,2.900027
226.70355845742000,2.91,4.0,3.398477
160.93291977727900,4.44,1.0,2.6506195
173.70355418856500,6.45,2.0,2.9092612
136.4871059401830,2.58,3.0,2.831447
99.79282018571440,2.6,6.0,3.0375202
257.4509808377970,12.99,3.0,3.4830139
251.77363198114900,7.8,4.0,3.7412443
237.52138003682300,2.75,4.0,3.5173018
108.14938781651800,1.85,2.0,2.7792892
347.3862764617910,20.0,1.0,4.6456223
20.930748828346500,4.15,3.0,2.6583354
125.64683269929800,1.5,1.0,2.5953124
124.67410766951600,5.2,6.0,3.0375202
128.72425636795100,2.0,1.0,2.4752982
131.54085835320600,4.999,5.0,3.0896773
152.30984544541300,2.94,7.0,3.1518006
114.41984038320900,3.48,1.0,2.5953124
96.27419612254770,3.7,5.0,3.0375202
143.89811288759900,8.07,4.0,3.0928268
301.1002700442960,4.75,1.0,3.2080498
85.41565111087230,2.75,9.0,3.2021933
188.6445402537930,4.2,5.0,3.4376206
149.54065185904800,0.75,2.0,2.8345964
118.3540585861250,5.5,3.0,2.7792892
149.8756726197390,9.49,5.0,3.0928268
199.60774516356800,12.5,3.0,3.1793897
155.6653229225850,3.99,2.0,2.8345964
134.38352149318800,4.9,2.0,2.831447
210.43953343811700,3.48,6.0,3.4376206
197.70589907217800,0.7,3.0,3.1793897
290.5371319482930,8.0,3.0,3.4830139
153.39449229692200,8.25,2.0,2.8345964
103.33456332363800,3.45,5.0,3.0375202
189.2296416846700,4.5,2.0,3.1793897
154.5301130995440,6.0,4.0,3.0928268
208.16143632985600,2.0,1.0,2.9954128
178.6246587509940,5.3,4.0,3.167492
174.93468631171700,5.1,3.0,2.9092612
206.9757404266830,6.0,4.0,3.4376206
62.621277207683900,1.7,1.0,2.5953124
136.49682668915500,3.5,1.0,2.6474698
58.878797381654100,6.3,5.0,3.0375202
130.47680181777700,5.59,6.0,3.0896773
135.5845498526230,3.19,7.0,3.1486511
195.4906908942730,4.5,3.0,3.1793897
156.56612904278300,1.5,1.0,2.6506195
195.41030024147800,5.0,6.0,3.4376206
150.50015791242700,2.4,1.0,2.6506195
262.56989593958000,4.55,3.0,3.4830139
221.7930087752920,3.1,2.0,3.1402466
170.60078702830400,5.99,4.0,3.167492
115.38933698555500,3.15,5.0,3.0375202
300.2001948310340,5.0,1.0,3.2080498
154.90740047334100,3.333257949540680,5.0,3.0928268
215.8672732947990,4.0,2.0,3.1402466
196.90730699827600,7.39,3.0,3.1793897
196.6146530260750,6.6,5.0,3.4376206
149.2588624683260,1.7,1.0,2.6506195
175.39902322920500,4.99,1.0,2.7252843
279.43101225859800,1.6,6.0,3.7412443
90.08263148585720,2.49,1.0,2.5953124
143.5382997976870,5.25,5.0,3.0928268
119.32184805736900,2.95,7.0,3.096494
100.74208516312200,1.79,3.0,2.7792892
288.75574175718400,2.9,3.0,3.4830139
206.0892331970970,2.9999,2.0,3.1793897
132.54262919421500,7.04,3.0,2.831447
139.65541290530100,1.37,2.0,2.8345964
155.15386996168200,4.1,1.0,2.6506195
169.8139238048930,5.99,4.0,3.167492
233.75344024758500,15.88,2.0,3.2590714
129.67392795778900,9.59,9.0,3.1269825
174.83656007291100,5.9,4.0,3.167492
129.1477463074790,8.5,8.0,3.1269825
111.7098305462340,7.5,5.0,3.0375202
212.51443602829500,1.3,1.0,2.9039721
132.55626316637000,7.0,5.0,3.0896773
97.6195756407816,2.2189,4.0,3.0375202
135.87672759792600,5.4,3.0,2.831447
180.3537374631110,10.99,2.0,2.9092612
280.7324019065070,2.9,1.0,3.299036
259.41369678740700,10.8,2.0,3.4830139
199.61769327210300,5.1,3.0,3.1793897
190.18866705500900,2.0,6.0,3.4376206
83.44920270808470,3.85,3.0,2.7792892
127.11351239345100,2.8,4.0,3.0375202
173.28434781849100,9.0,7.0,3.2264657
302.17258281417300,3.6,1.0,3.2080498
104.82801651576700,2.98,3.0,2.7792892
142.5607887802850,6.5,6.0,3.0928268
153.74275299791000,4.2,2.0,2.8345964
143.0270130946930,6.0,1.0,2.6506195
199.13005430926600,2.0,8.0,3.6022935
182.82689540904700,3.0,6.0,3.167492
131.10631187900500,3.9931,2.0,2.831447
326.39211017228900,1.045,2.0,3.545967
102.00703909912900,1.77,4.0,3.0375202
104.8468087238940,4.69,3.0,2.7792892
203.1177315288010,2.98,9.0,3.6022935
311.7814615116420,7.37,2.0,3.545967
167.21415248457400,1.88,2.0,2.9092612
188.61725572037700,7.0,2.0,3.1793897
127.41166690710700,2.94,2.0,2.7792892
266.8018616354040,4.0,2.0,3.4830139
171.47894316374300,4.35,8.0,3.332165
229.63750928796800,4.74,5.0,3.398477
187.9905926734850,2.3,2.0,2.6417964
52.73299784080080,2.4,2.0,2.7792892
101.6516523595850,4.6999,3.0,2.7792892
126.13224623174100,2.7,4.0,3.0375202
109.04971338332300,3.0,3.0,2.7792892
265.2081862879410,8.3,4.0,3.7412443
381.5741311300400,28.8,1.0,4.6956463
142.34565831397600,5.0,4.0,3.0928268
195.83020151687600,8.72,8.0,3.6022935
84.25343101790250,1.44,4.0,3.0375202
76.24667022881600,2.7719,13.0,3.2021933
153.73631167851400,3.9,3.0,2.8345964
91.31369272604270,6.15,2.0,2.7792892
105.97361065704500,1.0,1.0,2.5953124
164.0841475276250,3.3,1.0,2.7252843
61.54855650771050,4.8,3.0,2.7792892
135.28996555974000,3.3,1.0,2.6474698
105.44672455440300,6.8,3.0,2.7792892
115.06434672977400,5.449,5.0,3.0375202
85.1071147134703,1.75,2.0,2.7792892
190.9492848473550,25.0,1.0,2.9954128
174.1882553258460,8.0,4.0,3.167492
255.2957526547870,3.99,3.0,3.4830139
